SMILES,Code
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C,17-20-14
COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC,31-11-21
COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)N1CCC(CC1)N1CCN(C)CC1,31-30-0
CCCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H]3O)[C@@H]2O)[C@@H]1O,3-3-26
CC(C)N1C=CC=C2C(=O)NC(N)N=C12,19-20-17
CCC(=O)OCC(O)CNC(C)(C)C,11-21-11
CCn1c(nc2c(ncc(OC[C@H]3CCCNC3)c12)C#CC(C)(C)O)-c1nonc1N,7-20-5
CN1CCC(CC1)N1Cc2cccc(C(N)=O)c2C1=O,28-15-26
Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(Oc2ccnc(Nc3ccccc3)n2)c2ccccc12)C(C)(C)C,27-29-10
COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN3CCN(C)CC3)c3ccccc3)C(=O)Nc2c1,25-15-4
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,31-16-24
Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1,31-27-13
NS(=O)(=O)c1ccc(cc1Cl)C(=O)Cn1cnc2ccccc12,25-8-8
COc1cccc2C[C@@H]3[C@H](C[C@H](CN3C)C(=O)N3CCC(CC3)n3c4ccccc4[nH]c3=O)Cc12,8-21-28
CCN1C(=O)c2cccc3c(NS(=O)(=O)c4cc(Br)ccc4OC)ccc1c23,7-29-10
Fc1c(Br)ccc(Cl)c1C1CC(Nc2nnnn12)c1cccc(Br)c1,21-17-30
CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3N(CCc3cc2OC)C(=O)CN(C)C)nc2[nH]ccc12,28-8-4
CC1(C)CCC(C)(C)c2cc(ccc12)-c1cc(no1)C(O)=O,15-17-24
CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,31-31-15
CC(C)NCC(O)COc1cccc2ccccc12,1-29-30
C[C@@H](Oc1cc(sc1C(N)=O)-n1cnc2ccc(CN3CCN(C)CC3)cc12)c1ccccc1C(F)(F)F,18-14-9
NC(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccc2OCOc2c1)-c1ccccn1,25-20-17
COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(CC2)S(C)(=O)=O)nc1N,10-30-8
C(CC1CCNCC1)Cc1cnc[nH]1,16-19-31
NC(=N)NCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)Nc1ccc2c(CN3CCCC3)cn(Cc3ccc(F)cc3)c2c1)C(=O)NCc1ccccc1,23-13-30
Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)-c2cccc3[nH]nc(N)c23)c1,30-18-26
CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(cc2)N2CCN(CC2)c2ccc(OCC3CO[C@](Cn4cncn4)(C3)c3ccc(F)cc3F)cc2)c1=O,6-18-20
Cn1c(Nc2ccc(cc2)C(F)(F)F)nc2cc(Oc3ccnc(c3)-c3ncc([nH]3)C(F)(F)F)ccc12,29-11-23
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C,31-10-13
CN1CC[C@@H]([C@H](O)C1)c1c(O)cc(O)c2c1oc(cc2=O)-c1ccccc1Cl,11-23-15
C[C@@H]1CCN(C[C@@H]1N(C)c1ncnc2[nH]ccc12)C(=O)CC#N,24-20-22
C\C(\C=C\C1CC1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C|C(O)=O,8-11-30
CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)CC1,31-28-23
Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccccc2)c1,11-23-8
Cc1nc(C)c(s1)-c1ccnc(Nc2ccc(F)cc2)n1,25-28-12
CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)-c2cccc3[nH]ncc23)CC1,23-25-28
COc1nc2ccc(cc2c(Cl)c1CN1CCC(F)(F)CC1)[C@](O)(c1cnnn1C)c1ccc(C)nc1C,12-14-30
COCC(=O)NC\C=C\c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1,29-15-22
Cn1n(C2CCN(CC2)C2CCCCC2)c(=O)c2c(cc(F)cc12)C(N)=O,16-21-23
CS(=O)(=O)N1CCN(CC1)C1CN(CC[C@@]2(CCC(=O)N(CC3CC3)C2)c2ccc(Cl)c(Cl)c2)C1,22-20-31
C[C@@H](O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C,25-12-21
OC(=O)c1ccc(Nc2ncc3CN=C(c4cc(Cl)ccc4-c3n2)c2c(F)cccc2F)cc1,10-20-15
CN1CCCC[C@H]1\C=C\C1c2ccccc2Cc2ccccc12,10-23-28
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,31-14-19
